group,Methyl Ethyl Ketone Peroxide,Dimethyl Phthalate,pentanediol diisobutyrate,Hydrogen Peroxide,Methyl Ethyl Ketone,Water,Antimony Trioxide,Cobalt Octoate,Dibromo Neopentyl Glycol,Maleic Anhydride,Styrene,Cobalt(II) 2-ethylhexanoate,Fumed Silicia (CAB-O-SIL),Maleic Anhydride,Styrene
Catalyst,8,10,16,0,4,0,0,0,0,0,0,0,0,0,0
UP_Resin,0,0,0,0,0,0,0,16,5,4,8,0,0,0,0
UP_Resin_Gelcoat,0,0,0,0,0,0,0,0,0,0,0,16,0,4,8
